# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1468.17,0.0,photic_stimulation/5
1468.22,0.0,photic_stimulation/5
1468.27,0.0,photic_stimulation/5
1468.32,0.0,photic_stimulation/5
1468.37,0.0,photic_stimulation/5
1468.42,0.0,photic_stimulation/5
1468.47,0.0,photic_stimulation/5
1468.52,0.0,photic_stimulation/5
1468.575,0.0,photic_stimulation/5
1468.62,0.0,photic_stimulation/5
1468.67,0.0,photic_stimulation/5
1468.72,0.0,photic_stimulation/5
1468.77,0.0,photic_stimulation/5
1468.82,0.0,photic_stimulation/5
1468.87,0.0,photic_stimulation/5
1468.92,0.0,photic_stimulation/5
1468.97,0.0,photic_stimulation/5
1469.02,0.0,photic_stimulation/5
1469.075,0.0,photic_stimulation/5
1469.12,0.0,photic_stimulation/5
1469.17,0.0,photic_stimulation/5
1469.225,0.0,photic_stimulation/5
1469.27,0.0,photic_stimulation/5
1469.32,0.0,photic_stimulation/5
1469.375,0.0,photic_stimulation/5
1469.42,0.0,photic_stimulation/5
1469.47,0.0,photic_stimulation/5
1469.52,0.0,photic_stimulation/5
1469.57,0.0,photic_stimulation/5
1469.62,0.0,photic_stimulation/5
1469.67,0.0,photic_stimulation/5
1469.72,0.0,photic_stimulation/5
1469.77,0.0,photic_stimulation/5
1469.82,0.0,photic_stimulation/5
1469.875,0.0,photic_stimulation/5
1469.92,0.0,photic_stimulation/5
1469.97,0.0,photic_stimulation/5
1470.025,0.0,photic_stimulation/5
1470.07,0.0,photic_stimulation/5
1470.12,0.0,photic_stimulation/5
1470.17,0.0,photic_stimulation/5
1470.22,0.0,photic_stimulation/5
1470.27,0.0,photic_stimulation/5
1470.32,0.0,photic_stimulation/5
1470.375,0.0,photic_stimulation/5
1470.42,0.0,photic_stimulation/5
1470.47,0.0,photic_stimulation/5
1470.525,0.0,photic_stimulation/5
1470.57,0.0,photic_stimulation/5
1470.62,0.0,photic_stimulation/5
1470.675,0.0,photic_stimulation/5
1470.72,0.0,photic_stimulation/5
1470.77,0.0,photic_stimulation/5
1470.82,0.0,photic_stimulation/5
1470.87,0.0,photic_stimulation/5
1470.92,0.0,photic_stimulation/5
